Accession number,CIAT code,DOI,Synonyms,Common names,Genus,Species,Subspecies,Variety,Biological status,CORE collection,Country,Department,County,Place,Date of collection (dd-mm-yyyy),Altitude (masl),Latitude (decimal),Longitude (decimal),Name,Institution,Country,Name,dd-mm-yyyy,Growth habit,Plant height (cm),Flowering,Shape of leaf-lobe central,Petiole color,Developed leaf color,Number of leaf lobes,Root color,Dry matter content (%),Total HCN content (ppm),Total sugars (%),Total amylose (%),Clarity (%),Temperature pasting (°C),Maximum viscosity,Breakdown (cP),Easy cooking (minutes),,,Null,  1  ,  2  ,  3  ,  4  ,Responsible
BRA152,BRA 152,10.18730/P8EQY,"BGM 0108, BRA-005881",Itaparica,Manihot,esculenta,,,Landrace,0,Brazil,Bahia,Itaparica,,,19,-12.8833,-38.6667,Ciatcas-0821,EMPRESA BRASILEIRA DE PESQUISA AGROPECUARIA-CENTRO NACIONAL DE PESQUISA DE MANDIOCA E FRUTICULTURA TROPICAL,Brazil,,13-10-1980,,175,Present,Linear-Pandurate,,,,White,36.7,359,1.8,20.42,53.5,63.15,905,377,3.36,2000,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,86,,,100,Cesar Humberto Ocampo Nahar
BRA441,BRA 441,10.18730/PA451,BRA-060585,Pao-Doce 2,Manihot,esculenta,,,Landrace,0,Brazil,,,,,,,,Ciatcas-0106,EMPRESA GOIANA DE PESQUISA AGROPECUARIA,Brazil,,01-09-1982,,160,Absent,Linear-Pandurate,,,,White,36.64,160,3.09,21.3,46.4,64.1,1011,350,2.61,1999,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,86,,96,,Cesar Humberto Ocampo Nahar
BRA1071,BRA 1071,10.18730/PB5AT,"BGM 0347, BRA-001023, CMC 99",Cmc 99,Manihot,esculenta,,,Landrace,0,Colombia,,,,,,,,Ciatcas-0821,EMPRESA BRASILEIRA DE PESQUISA AGROPECUARIA-CENTRO NACIONAL DE PESQUISA DE MANDIOCA E FRUTICULTURA TROPICAL,Brazil,,02-08-1991,,,,,,,,,,,,,,,,,,,,,,,,,Cesar Humberto Ocampo Nahar
CM3306-25,CM 3306- 25,10.18730/P7VXM,CM 3306- 25,,Manihot,esculenta,,,Improved-Line (COL 22x CM 523- 7),0,Colombia,Valle Del Cauca,Palmira,Ciat Kms: 17,,915,3.5333,-76.25,,,,,,,135,Present,Linear-Pandurate,Green-Yellow,Dark Green,Seven Lobes,White,,,,,,,,,,,,,,91,,,Cesar Humberto Ocampo Nahar
BRA1078,BRA 1078,10.18730/P7VYN,"BGM 0462, BRA-000248",Caiabana,Manihot,esculenta,,,Landrace,0,Brazil,,,,,,,,Ciatcas-0821,EMPRESA BRASILEIRA DE PESQUISA AGROPECUARIA-CENTRO NACIONAL DE PESQUISA DE MANDIOCA E FRUTICULTURA TROPICAL,Brazil,,02-08-1991,,,,,,,,,,,,,,,,,,,,,,,,,Cesar Humberto Ocampo Nahar
CM5620-3,CM 5620- 3,10.18730/PDHT*,CM 5620- 3,,Manihot,esculenta,,,Improved-Line ( CM 955- 2x CM 523- 7),0,Colombia,Valle Del Cauca,Palmira,Ciat Kms: 17,,915,3.5333,-76.25,,,,,,,195,Present,Lanceolate,Green-Yellow,Light Green,Nine Lobes,White,,,,,,,,,,,,,86,,96,,Cesar Humberto Ocampo Nahar
BRA1293,BRA 1293,10.18730/PB5BV,"BGM 0303, BRA-000655, CM 367- 8","Cm 367- 8, Cm 367-8",Manihot,esculenta,,,Improved-Line,0,Colombia,Valle Del Cauca,Cali,Ciat,,915,3.4333,-77.5,Ciatcas-0821,EMPRESA BRASILEIRA DE PESQUISA AGROPECUARIA-CENTRO NACIONAL DE PESQUISA DE MANDIOCA E FRUTICULTURA TROPICAL,Brazil,,24-04-1991,,,,,,,,,28.39,316,4.95,20.79,45.2,68.35,573,135,2.9,2003,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,,,,,Cesar Humberto Ocampo Nahar
COL1764B,COL 1764B,10.18730/PAB1U,"CES-, COL 1764B",Barranquillera,Manihot,esculenta,,,Landrace,0,Colombia,Cesar,Codazzi,,15-05-1970,120,10.3333,-73.2333,,,,Victor Manuel Patino,15-05-1970,Bush,200,Absent,Lanceolate,,,,White,44.7,137,2.79,17.76,55.2,66.45,687,205,2.74,2003,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,86,,,,Cesar Humberto Ocampo Nahar
PAR187,PAR 187,10.18730/P8N4D,"199, M 199",Mandioca Blanca,Manihot,esculenta,,,Landrace,0,Paraguay,Canendiyu,Villa Ygatimi,Villa Ygatimi Kms: 1,06-04-1984,,-24.1167,-55.6833,,MINISTERIO DE AGRICULTURA Y GANADERIA,Paraguay,"J. Gerardo Vieira, Mario Sanabria L., Tomas Mayeregger",01-11-1985,Bush,195,Present,Obovate-Lanceolate,Green With Little Red,Dark Green,Five Lobes,White,28.67,153,3.17,20.18,71.8,66.4,452,213,1.83,2002,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,86,,96,100,Cesar Humberto Ocampo Nahar
VEN209,VEN 209,10.18730/PAB20,209,Pierna Negra,Manihot,esculenta,,,Landrace,0,Venezuela,Cojedes,El Pao,,08-02-1971,,9.6333,-68.1667,,,,"Jairo Quintero, Victor Manuel Patino",08-02-1971,,200,Present,Elliptic-Lanceolate,,,,White,35.02,120,3.6,18.94,45.8,63.7,797,249,3.52,2001,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,,,,100,Cesar Humberto Ocampo Nahar
VEN170,VEN 170,10.18730/P9GJ3,170,,Manihot,esculenta,,,Landrace,0,Venezuela,Barinas,Santa Barbara,,05-02-1971,,7.8167,-71.1833,,,,"Jairo Quintero, Victor Manuel Patino",05-02-1971,,,,,,,,,,,,,,,,,,,,,,,,100,Cesar Humberto Ocampo Nahar
VEN171,VEN 171,10.18730/PDHZ0,171,,Manihot,esculenta,,,Landrace,0,Venezuela,Barinas,Santa Barbara,,05-02-1971,,7.8167,-71.1833,,,,"Jairo Quintero, Victor Manuel Patino",05-02-1971,,190,Present,Lanceolate,,,,White,41.25,249,3.36,18.94,55.0,65.1,693,369,2.09,2003,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,,,,100,Cesar Humberto Ocampo Nahar
VEN174,VEN 174,10.18730/PBX18,174,,Manihot,esculenta,,,Landrace,1,Venezuela,Barinas,,,06-02-1971,300,,,,,,"Jairo Quintero, Victor Manuel Patino",06-02-1971,,175,Present,Lanceolate,,,,White,21.04,97,6.9,23.61,48.1,63.1,736,311,3.59,2001,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,,,,100,Cesar Humberto Ocampo Nahar
VEN135,VEN 135,10.18730/PAB86,135,,Manihot,esculenta,,,Landrace,0,Venezuela,Trujillo,Sabana Mendoza,,30-01-1971,140,9.4333,-70.7667,,,,"Jairo Quintero, Victor Manuel Patino",31-01-1971,,175,Present,Lanceolate,,,,White,,,,,,,,,,,,,86,,,,Cesar Humberto Ocampo Nahar
VEN122,VEN 122,10.18730/P8NAK,122,Negra,Manihot,esculenta,,,Landrace,0,Venezuela,Lara,Guarico,,30-01-1971,1500,9.6167,-69.8,,,,"Jairo Quintero, Victor Manuel Patino",30-01-1971,,,,,,,,,,,,,,,,,,,,,86,,96,,Cesar Humberto Ocampo Nahar
VEN128,VEN 128,10.18730/PABCA,128,Llanera,Manihot,esculenta,,,Landrace,1,Venezuela,Trujillo,Pompan,,30-01-1971,500,9.45,-70.3,,,,"Jairo Quintero, Victor Manuel Patino",31-01-1971,,220,Present,Lanceolate,,,,White,29.06,120,5.1,22.88,21.0,65.9,686,183,3.72,2001,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,86,,,100,Cesar Humberto Ocampo Nahar
CG501-15,CG 501- 15,10.18730/PDJ56,CG 501- 15,,Manihot,esculenta,,,Improved-Line (ECU 169xCOL 2060),0,Colombia,Valle Del Cauca,Palmira,Ciat Kms: 17,,915,3.5333,-76.25,,,,,,,215,Present,Elliptic-Lanceolate,,,,White,,,,,,,,,,,,,,,96,,Cesar Humberto Ocampo Nahar
