accession_name,accession_name_standard
SM2775-4,SM2775-4_is_Bellotti
COL2737,COL2737_is_Brasilera
SMB2446-2,SMB2446-2_is_Caiseli
CC4-Guyana,CC4_Guyana_is_Cantaclar04
CC5-Guyana,CC5_Guyana_is_Cantaclar05
SGB765-2,SGB765-2_is_Caribena
CM523-7,CM523-7_is_Catumare
CM3306-19,CM3306-19_is_Colombiana
CG1141-1,CG1141-1_is_Costena
SM1127-8,SM1127-8_is_Cubana
CM6754-8,CM6754-8_is_Enana
CM4843-1,CM4843-1_is_Gines
HMC1P12,HMC1P12_is_HMC1
COL1438,COL1438_is_Llenerita
CG489-31,CG489-31_is_NAT31
CM3306-4,CM3306-4_is_Negrita
CM9021-2,CM9021-2_is_Orense
CM6740-7,CM6740-7_is_Reina
GM4034-1,GM4034-1_is_Reina_wx
SGB765-4,SGB765-4_is_Rojita
CMB8523,CMB8523_is_Romelia
GM273-57,GM273-57_is_Ropain
SM1411-5,SM1411-5_is_Sinuana
CM3555-6,CM3555-6_is_Sucrena
TAI8,TAI8_is_TAI
COL2215,COL2215_is_Venezolana
CM6438-14,CM6438-14_is_Vergara
CM4919-1,CM4919-1_is_Veronica
CM6119-5,CM6119-5_is_Yema_de_Huevo
Bellotti,SM2775-4_is_Bellotti
Brasilera,COL2737_is_Brasilera
Caiseli,SMB2446-2_is_Caiseli
Cantaclar04,CC4_Guyana_is_Cantaclar04
Cantaclar05,CC5_Guyana_is_Cantaclar05
Caribena,SGB765-2_is_Caribena
Caselli,SMB2446-2_is_Caselli
Catumare,CM523-7_is_Catumare
Colombiana,CM3306-19_is_Colombiana
Costena,CG1141-1_is_Costena
Cubana,SM1127-8_is_Cubana
Enana,CM6754-8_is_Enana
Enanita,CM6754-8_is_Enanita
Gines,CM4843-1_is_Gines
HMC1,HMC1P12_is_HMC1
HMC-1,HMC1P12_is_HMC-1
Llenerita,COL1438_is_Llenerita
NAT31,CG489-31_is_NAT31
Negrita,CM3306-4_is_Negrita
Orense,CM9021-2_is_Orense
Reina,CM6740-7_is_Reina
Reina_wx,GM4034-1_is_Reina_wx
Rojita,SGB765-4_is_Rojita
Romelia,CMB8523_is_Romelia
Ropain,GM273-57_is_Ropain
Sinuana,SM1411-5_is_Sinuana
Sucrena,CM3555-6_is_Sucrena
TAI,TAI8_is_TAI
Venezolana,COL2215_is_Venezolana
Vergara,CM6438-14_is_Vergara
Veronica,CM4919-1_is_Veronica
Yema_de_Huevo,CM6119-5_is_Yema_de_Huevo
Melua31,SM2792-31_Melua31
SM2792-31,SM2792-31_Melua31
COL1522,COL1522_is_Algodona
Algodona,COL1522_is_Algodona
