location_CassavaBase ,use_latitude,use_longitude,use_altitude,use_department,use_country,use_ag_zone,use_location_short
Abidjan,,,,,,,
Llanos,,,,,,,
"Molineros. Atlantico, Colombia",,,25,Atlantico,Colombia,Subhumid lowland tropics,moli
Motilonia,9.933333333,-73.21666667,,Cesar,Colombia,Subhumid lowland tropics,moti
Palmar de Varela,3.483333333,-76.36666667,965,Valle,Colombia,Mid-altitude torpics,ciat
"S. de Quilichao. Cauca, Colombia",3,-76.48333333,1061,Cauca,Colombia,Mid-altitude torpics,quil
Tay Ninh,11.67,106.1,20,,Vietnam,,tani
Dong Nai,10.949,107.076,15,,Vietnam,,dona
Unknown,,,,,,,
unknown2,,,,,,,
Francisco Pizarro,,,,,,,
"Carranzo. Cordoba, Colombia",9.1,-75.38333333,95,Cordoba,Colombia,Subhumid lowland tropics,carr
El Mira,1.783333333,-78.78333333,9,Nariño,Colombia,Humid lowland tropics,mira
Bolivar,,,,,,,
Costa,,,,,,,
Campeche,10.71666667,-74.9,,Atlantico,Colombia,Subhumid lowland tropics,camp
"Pend. , Colombia",,,,,,,
El Carmen de Bolivar,7.966666667,-74.1,834,Bolivar,Colombia,Subhumid lowland tropics,carm
"Tamalameque. Cesar, Colombia",85.21666667,-76.8,25,Cesar,Colombia,Subhumid lowland tropics,tama
"Barranca De Upia. Casanare, Colombia",43.83333333,-72.96666667,213,Casanare,Colombia,"Acid soil,lowland tropical savannas",upia
"Aremasain. Guajira, Colombia",11.48333333,-72.68333333,31,Guajira,Colombia,Semiarid lowland tropics,arem
"Cienaga. Magdalena, Colombia",11,-74.25,12,Magdalena,Colombia,Subhumid lowland tropics,cnag
"Barranquilla. Atlantico, Colombia",11,-74.8,25,Atlantico,Colombia,Subhumid lowland tropics,barr
"Rio Frio. Magdalena, Colombia",10.91666667,-74.16666667,22,Magdalena,Colombia,Subhumid lowland tropics,rfri
Caracoli,10.85,-74.83333333,73,Atlantico,Colombia,Subhumid lowland tropics,cara
